id	English	Japanese	French	German	Spanish	Korean	Chinese
couplehint.occupation.chef2	<u>{2nd-name}</u>'s spouse is a chef	<u>{2nd-name}</u> の配偶者はシェフです	Le ou la conjoint(e) de <u>{2nd-name}</u> est chef(fe) cuisinier(e)	<u>{2nd-name}</u>s Ehemann/Ehefrau ist Koch/Köchin.	El cónyuge de <u>{2nd-name}</u> es chef	<u>{2nd-name}</u>의 배우자는 요리사입니다	<u>{2nd-name}</u> 的配偶是一名廚師
couplehint.occupation.chef3	<u>{2nd-name}</u>'s {2nd-relation} works in the kitchen	<u>{2nd-name}</u>の {2nd-relation} は厨房で働いています	Le ou la {2nd-relation} de <u>{2nd-name}</u> travaille en cuisine	<u>{2nd-name}</u>s {2nd-relation} arbeitet in der Küche.	La {2nd-relation} de <u>{2nd-name}</u> trabaja en la cocina	<u>{2nd-name}</u>의 {2nd-relation}(은)는 주방에서 일합니다	<u>{2nd-name}</u> 的 {2nd-relation} 在廚房工作
couplehint.occupation.doctor1	<u>{2nd-name}</u>'s {2nd-relation} is a doctor	<u>{2nd-name}</u> の {2nd-relation} は医師です	Le ou la <u>{2nd-name}</u> de {2nd-relation} est médecin	<u>{2nd-name}</u>s {2nd-relation} ist Arzt.	La {2nd-relation} de <u>{2nd-name}</u> es médico	<u>{2nd-name}</u>의 {2nd-relation}(은)는 의사입니다	<u>{2nd-name}</u> 的 {2nd-relation} 是一名醫師
couplehint.occupation.doctor2	<u>{2nd-name}</u>'s spouse is a doctor	<u>{2nd-name}</u> の配偶者は医師です	Le ou la conjoint(e) de <u>{2nd-name}</u> est médecin	<u>{2nd-name}</u>s Ehemann/Ehefrau ist Arzt/Ärztin.	El cónyuge de <u>{2nd-name}</u> es médico	<u>{2nd-name}</u>의 배우자는 의사입니다	<u>{2nd-name}</u> 的配偶是一名醫師
couplehint.occupation.engineer1	<u>{2nd-name}</u>'s {2nd-relation} is an engineer	<u>{2nd-name}</u> の {2nd-relation} はエンジニアです	{2nd-relation} de <u>{2nd-name}</u> est ingénieur.	<u>{2nd-name}</u>s {2nd-relation} ist Ingenieur/Ingenieurin.	La {2nd-relation} de <u>{2nd-name}</u> es ingeniero	<u>{2nd-name}</u>의 {2nd-relation}(은)는 기술자입니다	<u>{2nd-name}</u> 的 {2nd-relation} 是一名工程師
couplehint.occupation.engineer2	<u>{2nd-name}</u>'s spouse is an engineer	<u>{2nd-name}</u> の配偶者はエンジニアです	Le ou la conjoint(e) de <u>{2nd-name}</u> est ingénieur(e)	<u>{2nd-name}</u>s Ehemann/Ehefrau ist Ingenieur/Ingenieurin.	El cónyuge de <u>{2nd-name}</u> es ingeniero	<u>{2nd-name}</u>의 배우자는 기술자입니다	<u>{2nd-name}</u> 的配偶是一名工程師
couplehint.occupation.firefighter1	<u>{2nd-name}</u>'s {2nd-relation} works as a firefighter	<u>{2nd-name}</u> の {2nd-relation} は消防士として働いています	Le ou la <u>{2nd-name}</u> de {2nd-relation} travaille comme pompier	<u>{2nd-name}</u>s {2nd-relation} arbeitet als Feuerwehrmann/Feuerwehrfrau.	La {2nd-relation} de <u>{2nd-name}</u> trabaja de bombero	<u>{2nd-name}</u>의 {2nd-relation}(은)는 소방관입니다	<u>{2nd-name}</u> 的 {2nd-relation} 是一名消防員
couplehint.occupation.firefighter2	<u>{2nd-name}</u>'s spouse works as a firefighter	<u>{2nd-name}</u> の配偶者は消防士として働いています	Le ou la conjoint(e) de <u>{2nd-name}</u> travaille comme pompier	<u>{2nd-name}</u>s Ehemann/Ehefrau arbeitet als Feuerwehrmann/Feuerwehrfrau.	El cónyuge de <u>{2nd-name}</u> trabaja de bombero	<u>{2nd-name}</u>의 배우자는 소방관입니다	<u>{2nd-name}</u> 的配偶是一名消防員
couplehint.occupation.nurse1	<u>{2nd-name}</u>'s {2nd-relation} works as a nurse	<u>{2nd-name}</u> の {2nd-relation} は看護師として働いています	Le ou la <u>{2nd-name}</u> de {2nd-relation} travaille comme qu'infirmier(e)	<u>{2nd-name}</u>s {2nd-relation} arbeitet als Krankenpfleger/Krankenschwester.	La {2nd-relation} de <u>{2nd-name}</u> trabaja de enfermero	<u>{2nd-name}</u>의 {2nd-relation}(은)는 간호사입니다	<u>{2nd-name}</u> 的 {2nd-relation} 是一名護理師
couplehint.occupation.nurse2	<u>{2nd-name}</u>'s spouse works as a nurse	<u>{2nd-name}</u> の配偶者は看護師として働いています	Le ou la conjoint(e) de <u>{2nd-name}</u> travaille comme infirmier(e)	<u>{2nd-name}</u>s Ehemann arbeitet als Krankenpfleger/Krankenschwester.	El cónyuge de <u>{2nd-name}</u> trabaja de enfermero	<u>{2nd-name}</u>의 배우자는 간호사입니다	<u>{2nd-name}</u> 的配偶是一名護理師
couplehint.occupation.police1	<u>{2nd-name}</u>'s {2nd-relation} works as a police officer	<u>{2nd-name}</u> の {2nd-relation} は警察官として働いています	Le ou la <u>{2nd-name}</u> de {2nd-relation} travaille comme officier de police	<u>{2nd-name}</u>s {2nd-relation} arbeitet als Polizist/Polizistin.	La {2nd-relation} de <u>{2nd-name}</u> trabaja de policía	<u>{2nd-name}</u>의 {2nd-relation}(은)는 경찰관입니다	<u>{2nd-name}</u> 的 {2nd-relation} 是一名警員
couplehint.occupation.police2	<u>{2nd-name}</u>'s spouse works as a police officer	<u>{2nd-name}</u> の配偶者は警察官として働いています	Le ou la conjoint(e) de <u>{2nd-name}</u> travaille comme officier de police	<u>{2nd-name}</u>s Ehemann/Ehefrau arbeitet als Polizist/Polizistin.	El cónyuge de <u>{2nd-name}</u> trabaja de policía	<u>{2nd-name}</u>의 배우자는 경찰관입니다	<u>{2nd-name}</u> 的配偶是一名警員
couplehint.trait.dark_blonde1	<u>{2nd-name}</u>'s {2nd-relation} has dark skin tone and blonde hair	<u>{2nd-name}</u> の {2nd-relation} は肌色が濃く、髪の毛はブロンドです	Le ou la {2nd-relation} de <u>{2nd-name}</u> a la peau foncée et les cheveux blonds	<u>{2nd-name}</u>s {2nd-relation} hat dunkle Haut und blonde Haare.	La {2nd-relation} de <u>{2nd-name}</u> tiene piel morena y pelo rubio	<u>{2nd-name}</u>의 {2nd-relation}(은)는 피부색이 어둡고 금발 머리입니다	<u>{2nd-name}</u> 的 {2nd-relation} 有著深黑色肌膚與一頭金髮
couplehint.trait.light_blonde1	<u>{2nd-name}</u> likes people with blonde hair and light skin tone	<u>{2nd-name}</u> は髪の毛がブロンドで、明るい肌色の人が好きです	<u>{2nd-name}</u> aime les personnes aux cheveux blonds et au teint clair	<u>{2nd-name}</u> mag Menschen mit blonden Haaren und heller Haut.	A <u>{2nd-name}</u> le gustan las personas con pelo rubio y piel clara	<u>{2nd-name}</u>(은)는 금발 머리에 피부색이 밝은 사람을 좋아합니다	<u>{2nd-name}</u> 喜歡有著一頭金髮與淺色肌膚的人
couplehint.trait.dark_ginger1	<u>{2nd-name}</u>'s {2nd-relation} has ginger hair and dark skin tone	<u>{2nd-name}</u> の {2nd-relation} は髪の毛が赤毛で肌色は濃いです	Le ou la <u>{2nd-name}</u> de {2nd-relation} a les cheveux roux et le teint foncé	<u>{2nd-name}</u>s {2nd-relation} hat rote Haare und dunkle Haut.	La {2nd-relation} de <u>{2nd-name}</u> es pelirrojo y tiene piel morena	<u>{2nd-name}</u>의 {2nd-relation}(은)는 붉은 머리에 피부색이 어둡습니다	<u>{2nd-name}</u> 的 {2nd-relation} 有著一頭紅髮與深黑色肌膚
couplehint.trait.light_ginger1	<u>{2nd-name}</u> likes people with light skin tone and ginger hair	<u>{2nd-name}</u> は明るい肌色で髪の毛が赤毛の人が好きです	<u>{2nd-name}</u> aime les personnes au teint clair et aux cheveux roux	<u>{2nd-name}</u> mag Menschen mit heller Haut und roten Haaren.	A <u>{2nd-name}</u> le gustan las personas con piel clara y pelirrojos	<u>{2nd-name}</u>(은)는 밝은 피부색과 붉은 머리를 가진 사람을 좋아합니다	<u>{2nd-name}</u> 喜歡有著淺色肌膚與一頭紅髮的人
couplehint.trait.glasses1	<u>{2nd-name}</u>'s {2nd-relation} wears glasses	<u>{2nd-name}</u> の {2nd-relation} は眼鏡をかけています	Le ou la <u>{2nd-name}</u> de {2nd-relation} porte des lunettes	<u>{2nd-name}</u>s {2nd-relation} trägt eine Brille.	La {2nd-relation} de <u>{2nd-name}</u> lleva gafas	<u>{2nd-name}</u>의 {2nd-relation}(은)는 안경을 착용합니다	<u>{2nd-name}</u> 的 {2nd-relation} 有戴眼鏡
couplehint.trait.glasses2	<u>{2nd-name}</u>'s spouse wears glasses	<u>{2nd-name}</u> の配偶者は眼鏡をかけています	Le ou la conjoint(e) de <u>{2nd-name}</u> porte des lunettes	<u>{2nd-name}</u>s Ehemann/Ehefrau trägt eine Brille.	El cónyuge de <u>{2nd-name}</u> lleva gafas	<u>{2nd-name}</u>의 배우자는 안경을 착용합니다	<u>{2nd-name}</u> 的配偶有戴眼鏡
couplehint.trait.glasses3	<u>{2nd-name}</u>'s {2nd-relation} has poor eyesight	<u>{2nd-name}</u> の {2nd-relation} は視力が悪いです	Le ou la <u>{2nd-name}</u> de {2nd-relation} a une mauvaise vue	<u>{2nd-name}</u>s {2nd-relation} hat eine Sehschwäche.	La {2nd-relation} de <u>{2nd-name}</u> tiene mala visión	<u>{2nd-name}</u>의 {2nd-relation}(은)는 시력이 좋지 않습니다	<u>{2nd-name}</u> 的 {2nd-relation} 的視力不佳
couplehint.trait.beard_only1	<u>{2nd-name}</u>'s {2nd-relation} has a beard but no mustache	<u>{2nd-name}</u> の {2nd-relation} はあご髭がありますが、口髭はありません	Le {2nd-relation} de <u>{2nd-name}</u> a une barbe mais pas de moustache	<u>{2nd-name}</u>s {2nd-relation} hat einen Bart, jedoch keinen Schnurrbart.	La {2nd-relation} de <u>{2nd-name}</u> tiene barba, pero no bigote	<u>{2nd-name}</u>의 {2nd-relation}(은)는 턱수염이 있지만 콧수염은 없습니다	<u>{2nd-name}</u> 的 {2nd-relation} 有蓄鬍但沒有留小鬍子
couplehint.trait.mustache_only1	<u>{2nd-name}</u>'s {2nd-relation} has a mustache but no beard	<u>{2nd-name}</u> の {2nd-relation} は口髭はありますが、あご髭はありません	Le {2nd-relation} de <u>{2nd-name}</u> a une moustache mais pas de barbe	<u>{2nd-name}</u>s {2nd-relation} hat einen Schnurrbart, jedoch keinen Bart.	La {2nd-relation} de <u>{2nd-name}</u> tiene bigote, pero no barba	<u>{2nd-name}</u>의 {2nd-relation}(은)는 콧수염이 있지만 턱수염은 없습니다	<u>{2nd-name}</u> 的 {2nd-relation} 有留小鬍子但沒有蓄鬍
couplehint.trait.beard_mustache_blonde1	<u>{2nd-name}</u>'s {2nd-relation} has a mustache, beard, and blonde hair	<u>{2nd-name}</u> の {2nd-relation} は口髭とあご髭があり、髪の毛はブロンドです	Le {2nd-relation} de <u>{2nd-name}</u> a une moustache, une barbe et des cheveux blonds	<u>{2nd-name}</u>s {2nd-relation} hat einen Schnurrbart, einen Bart und blonde Haare.	La {2nd-relation} de <u>{2nd-name}</u> tiene bigote, barba y pelo rubio	<u>{2nd-name}</u>의 {2nd-relation}(은)는 콧수염, 턱수염이 있고 금발 머리입니다	<u>{2nd-name}</u> 的 {2nd-relation} 有留小鬍子、蓄鬍，且有著一頭金髮
couplehint.trait.beard_mustache_dark1	<u>{2nd-name}</u>'s {2nd-relation} has a mustache, beard, and dark skin tone	<u>{2nd-name}</u> の {2nd-relation} は口髭とあご髭があり、肌色は濃いです	Le {2nd-relation} de <u>{2nd-name}</u> a une moustache, une barbe et le teint foncé	<u>{2nd-name}</u>s {2nd-relation} hat einen Schnurrbart, einen Bart und dunkle Haut.	La {2nd-relation} de <u>{2nd-name}</u> tiene bigote, barba y piel morena	<u>{2nd-name}</u>의 {2nd-relation}(은)는 콧수염, 턱수염이 있고 피부색이 어둡습니다	<u>{2nd-name}</u> 的 {2nd-relation} 有留小鬍子、蓄鬍，且有著深黑色肌膚
couplehint.trait.beard_mustache_light1	<u>{2nd-name}</u>'s {2nd-relation} has a mustache, beard, and light skin tone	<u>{2nd-name}</u> の {2nd-relation} は口髭とあご髭があり、肌色は明るいです	Le {2nd-relation} de <u>{2nd-name}</u> a une moustache, une barbe et le teint clair	<u>{2nd-name}</u>s {2nd-relation} hat einen Schnurrbart, einen Bart und helle Haut.	La {2nd-relation} de <u>{2nd-name}</u> tiene bigote, barba y piel clara	<u>{2nd-name}</u>의 {2nd-relation}(은)는 콧수염, 턱수염이 있고 피부색이 밝습니다	<u>{2nd-name}</u> 的 {2nd-relation} 有留小鬍子、蓄鬍，且有著淺色肌膚
easy01.sublevel1.hint1	{F1} is {M1}'s wife	{F1} は {M1} の妻です	{F1} est la femme de {M1}	{F1} is {M1}s Ehefrau.	{F1} es la mujer de {M1}	{F1}(은)는 {M1}의 아내입니다	{F1} 是 {M1} 的妻子
easy01.sublevel2.hint1	{F2} is older than {M2}	{F2} は {M2} より年上です	{F2} est plus âgée que {M2}	{F2} ist älter als {M2}.	{F2} es mayor que {M2}	{F2}(은)는 {M2}보다 나이가 많습니다	{F2} 的年紀比 {M2} 大
easy02.sublevel1.hint1	{M1} is {M2}'s father	{M1} は {M2} の父親です	{M1} est le père de {M2}	{M1} ist {M2}s Vater.	{M1} es el padre de {M2}	{M1}(은)는 {M2}의 아버지입니다	{M1} 是 {M2} 的父親
easy02.sublevel1.hint2	{M2} is the oldest child	{M2} は長子です	{M2} est l'aîné des enfants	{M2} ist das älteste Kind.	{M2} es el hijo mayor	{M2}(은)는 첫째 자식입니다	{M2} 是年紀最大的孩子
easy02.sublevel1.hint3	{F3} is younger than {F2}	{F3} は {F2} より年下です	{F3} est plus jeune que {F2}	{F3} ist jünger als {F2}.	{F3} es más joven que {F2}	{F3}(은)는 {F2}보다 어립니다	{F3} 的年紀比 {F2} 小
easy03.sublevel1.hint1	{F1} is younger than {M1}	{F1} は {M1} より年下です	{F1} est plus jeune que {M1}	{F1} ist jünger als {M1}.	{F1} es más joven que {M1}	{F1}(은)는 {M1}보다 어립니다	{F1} 的年紀比 {M1} 小
easy03.sublevel1.hint2	{M2} and {F2} are married	{M2} と {F2} は結婚しています	{M2} et {F2} sont mariés	{M2} und {F2} sind verheiratet.	{M2} y {F2} están casados	{M2}(와)과 {F2}(은)는 부부 관계입니다	{M2} 跟 {F2} 結婚了
easy03.sublevel2.hint1	{F4} is not married	{F4} は結婚していません	{F4} n'est pas mariée	{F4} ist nicht verheiratet.	{F4} no está casada	{F4}(은)는 결혼하지 않았습니다	{F4} 未婚
easy03.sublevel2.hint2	{M4} is the oldest	{M4} は最年長です	{M4} est l'aîné	{M4} ist der Älteste.	{M4} es el mayor	{M4}(은)는 나이가 가장 많습니다	{M4} 的年紀最大
easy03.sublevel2.hint3	{F3} is {M4}'s wife	{F3} は {M4} の妻です	{F3} est la femme de {M4}	{F3} ist {M4}s Ehefrau.	{F3} es la mujer de {M4}	{F3}(은)는 {M4}의 아내입니다	{F3} 是 {M4} 的妻子
easy04.sublevel1.hint1	{F2} is married to {M3}	{F2} は {M3}と結婚している。	{F2} est mariée à {M3}	{F2} ist mit {M3} verheiratet.	{F2} está casada con {M3}	{F2}(은)는 {M3}와 결혼했습니다	{F2} 嫁給了 {M3}
easy04.sublevel1.hint2	{M2} and {F2} are {M1}'s children	{M2} と {F2} は {M1} の子どもです	{M2} et {F2} sont les enfants de {M1}	{M2} und {F2} sind {M1}s Kinder.	{M2} y {F2} son hijos de {M1}	{M2}(와)과 {F2}(은)는 {M1}의 자녀입니다	{M2} 與 {F2} 是 {M1} 的孩子
easy04.sublevel1.hint3	{F1} is {F3}'s grandmother	{F1} は {F3} の祖母です	{F1} est la grand-mère de {F3}	{F1} ist {F3}s Großmutter.	{F1} es la abuela de {F3}	{F1}(은)는 {F3}의 (외)할머니입니다	{F1} 是 {F3} 的祖母
easy05.sublevel1.hint1	{M2} is not married to {F1}	{M2} は {F1} と結婚していません	{M2} n'est pas marié à {F1}	{M2} ist nicht mit {F1} verheiratet.	{M2} no está casado con {F1}	{M2}(은)는 {F1}(와)과 부부 관계가 아닙니다	{M2} 沒有娶 {F1} 為妻
easy05.sublevel1.hint2	{M1} is not married to {F2}	{M1} は {F2} と結婚していません	{M1} n'est pas marié à {F2}	{M1} ist nicht mit {F2} verheiratet.	{M1} no está casado con {F2}	{M1}(은)는 {F2}(와)과 부부 관계가 아닙니다	{M1} 沒有娶 {F2} 為妻
easy05.sublevel2.hint1	{F4} is married to {M3}	{F4} は {M3} と結婚しています	{F4} est mariée à {M3}	{F4} ist mit {M3} verheiratet.	{F4} está cansado con {M3}	{F4}(은)는 {M3}(와)과 결혼했습니다	{F4} 嫁給了 {M3}
easy05.sublevel2.hint2	{M3} is {F1}'s child	{M3} は {F1} の子どもです	{M3} est l'enfant de {F1}	{M3} ist {F1}s Kind.	{M3} es el hijo de {F1}	{M3}(은)는 {F1}의 자식입니다	{M3} 是 {F1} 的孩子
easy05.sublevel2.hint3	{M4} has an older sister	{M4} には姉が1人います	{M4} a une sœur aînée	{M4} hat eine ältere Schwester.	{M4} tiene una hermana mayor	{M4}에게는 누나가 한 명 있습니다	{M4} 有一個姊姊
easy05.sublevel2.hint4	{F3} has a younger brother	{F3} には弟が1人います	{F3} a un frère cadet	{F3} hat einen jüngeren Bruder.	{F3} tiene un hermano pequeño	{F3}에게는 남동생이 한 명 있습니다	{F3} 有一個弟弟
easy06.sublevel1.hint1	{M1} and {F1} have a son	{M1} と {F1} には息子が1人います	{M1} et {F1} ont un fils	{M1} und {F1} haben einen Sohn.	{M1} y {F1} tienen un hijo	{M1}(와)과 {F1}에게는 아들이 한 명 있습니다	{M1} 與 {F1} 有一個兒子
easy06.sublevel2.hint1	{M2} also married {F3}	{M2} も {F3} と結婚しました	{M2} a également épousé {F3}	{M2} hat auch {F3} geheiratet.	{M2} también se casó con {F3}	{M2} 또한 {F3}(와)과 부부 관계입니다	{M2} 也娶了 {F3} 為妻
easy06.sublevel2.hint2	{M3} is {F3}'s child	{M3} は {F3} の子どもです	{M3} est l'enfant de {F3}	{M3} ist {F3}s Kind.	{M3} es el hijo de {F3}	{M3}(은)는 {F3}의 자식입니다	{M3} 是 {F3} 的孩子
easy06.sublevel2.hint3	{M4} is younger than {F4}	{M4} は {F4} より年下です	{M4} est plus jeune que {F4}	{M4} ist jünger als {F4}.	{M4} es más joven que {F4}	{M4}(은)는 {F4}보다 어립니다	{M4} 的年紀比 {F4} 小
easy07.sublevel1.hint1	{M2}'s wife works as a nurse	{M2} の妻は看護師として働いています	La femme de {M2} travaille comme infirmière	{M2}s Ehefrau arbeitet als Krankenschwester.	La mujer de {M2} trabaja de enfermera	{M2}의 아내는 간호사입니다	{M2} 的妻子是一名護理師
easy07.sublevel1.hint2	{F2}'s father is an astronaut	{F2} の父親は宇宙飛行士です	Le père de {F2} est astronaute	{F2}s Vater ist Astronaut.	El padre de {F2} es astronauta	{F2}의 아버지는 우주 비행사입니다	{F2} 的父親是一名太空人
easy07.sublevel1.hint3	{F3} is {M1}'s grandchild	{F3} は {M1} の孫です	{F3} est le petit-fils de {M1}	{F3} ist {M1}s Enkelkind.	{F3} es la nieta de {M1}	{F3}(은)는 {M1}의 손주입니다	{F3} 是 {M1} 的孫子女
easy07.sublevel1.hint4	{F1} is married to {M1}	{F1} は {M1} と結婚しています	{F1} est mariée à {M1}	{F1} ist mit {M1} verheiratet.	{F1} está casada con {M1}	{F1}(은)는 {M1}(와)과 결혼했습니다	{F1} 嫁給了 {M1}
easy08.sublevel1.hint1	{F1}'s child works as a doctor	{F1} の子どもは医師として働いています	L'enfant de {F1} travaille comme médecin	{F1}s Kind arbeitet als Arzt/Ärztin.	El hijo de {F1} trabaja de médico	{F1}의 자식은 의사입니다	{F1} 的孩子是一名醫師
easy08.sublevel1.hint2	{F2} had a honeymoon with {M2}	{F2} は {M2} と新婚旅行へ行きました	{F2} a passé sa lune de miel avec {M2}	{F2} war mit {M2} in den Flitterwochen.	{F2} se fue de luna de miel con {M2}	{F2}(은)는 {M2}(와)과 신혼여행을 갔었습니다	{F2} 與 {M2} 共度了蜜月時光
easy08.sublevel1.hint3	{F3} married a doctor	{F3} は医師と結婚しました	{F3} a épousé un médecin	{F3} hat einen Arzt geheiratet.	{F3} se casó con un médico	{F3}(은)는 의사와 결혼했습니다	{F3} 嫁給了一名醫師
easy08.sublevel1.hint4	{M1} is not married to {F2}	{M1} は {F2} と結婚していません	{M1} n'est pas marié avec {F2}	{M1} ist nicht mit {F2} verheiratet.	{M1} no está casado con {F2}	{M1}(은)는 {F2}와 부부 관계가 아닙니다	{M1} 沒有跟 {F2} 結婚
easy08.sublevel2.hint1	{M4} has an older and younger sister	{M4} には姉が1人と妹が1人います	{M4} a une sœur aînée et une jeune sœur	{M4} hat eine ältere und eine jüngere Schwester.	{M4} tiene una hermana mayor y una hermana pequeña	{M4}에게는 누나와 여동생이 있습니다	{M4} 有一個姊姊與一個妹妹
easy08.sublevel2.hint2	{F4} has a younger brother and sister	{F4} には弟が1人と妹が1人います	{F4} a un jeune frère et une jeune sœur	{F4} hat einen jüngeren Bruder und eine jüngere Schwester.	{F4} tiene un hermano y una hermana más pequeños	{F4}에게는 남동생과 여동생이 있습니다	{F4} 有一個弟弟與一個妹妹
easy09.sublevel1.hint1	{M2} is {F2}'s sibling	{M2} は {F2} の兄妹です	{M2} est le frère ou la sœur de {F2}	{M2} ist {F2}s Bruder.	{M2} es hermano de {F2}	{M2}(은)는 {F2}의 남매입니다	{M2} 是 {F2} 的手足
easy09.sublevel1.hint2	{M3} is not married to {F1}	{M3} は {F1} と結婚していません	{M3} n'est pas marié à {F1}	{M3} ist nicht mit {F1} verheiratet.	{M3} no está casado con {F1}	{M3}(은)는 {F1}(와)과 부부 관계가 아닙니다	{M3} 沒有娶 {F1} 為妻
easy09.sublevel1.hint3	{M4} is {M1}'s grandchild	{M4} は {M1} の孫です	{M4} est le petit-fils de {M1}	{M4} ist {M1}s Enkelkind.	{M4} es el nieto de {M1}	{M4}(은)는 {M1}의 손주입니다	{M4} 是 {M1} 的孫子女
easy09.sublevel1.hint4	{M3} is {M4}'s father	{M3} は {M4} の父親です	{M3} est le père de {M4}	{M3} ist {M4}s Vater.	{M3} es el padre de {M4}	{M3}(은)는 {M4}의 아버지입니다	{M3} 是 {M4} 的父親
easy09.sublevel2.hint1	{F3} has 2 daughters	{F3} には娘が2人います	{F3} a deux filles	{F3} hat 2 Töchter.	{F3} tiene 2 hijas	{F3}에게는 딸이 2명 있습니다	{F3} 有 2 個女兒
easy09.sublevel2.hint2	{F6} is married	{F6} は結婚しています	{F6} est mariée	{F6} ist verheiratet.	{F6} está casada	{F6}(은)는 결혼했습니다	{F6} 已婚
